"","ecogroup","totN","ecoN","totSNPs","totChr","totRegions10kb","totRegions50kb","congo0","propCongo0","nile0","propNile0","othersProp","nubsOnlyProp","westOnlyProp","nubsWestProp","vicOnlyProp","mitoOnlyProp","mitoWestProp","mitonubsProp","nubsOnlyPropCon","mitoOnlyPropCon","westOnlyPropCon","mitoWestPropCon","nubsWestPropCon","mitonubsPropCon","othersPropCon","vicOnlyPropCon","nubsOnlyPropNile","mitoOnlyPropNile","westOnlyPropNile","nubsWestPropNile","mitoWestPropNile","mitonubsPropNile","othersPropNile","vicOnlyPropNile","propOnlyCongo","propOnlyNile","propBothParentals","propNoParentals","abb","nsp","nubsOnlySign","westOnlySign","westNubsSign","vicOnlySign","Northern_generalistsOnlySign","congoSign","nileSign","bothParSign","noParSign"
"de","detritivore_E2","94","15","94","19","58","50","79","0.93","67","0.72","0.021505376344086","0.0537634408602151","0.182795698924731","0.182795698924731","0.387096774193548","0.0860215053763441","0.0645161290322581","0.021505376344086","0","0","0","0.333333333333333","0.666666666666667","0","0","0","0","0.0588235294117647","0.411764705882353","0.294117647058824","0","0.0588235294117647","0.0588235294117647","0.117647058823529","0.04","0.2","0.04","0.73","de","1","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE"
"ab","Neo_epilithic_algae_scraper","30","12","30","3","3","2","29","0.97","29","0.97","0","0","0.0333333333333333","0.0333333333333333","0.0333333333333333","0.8","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0.97","ab","6","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE"
"ag_M.lut","epilithic_algae_scraper_Ml","479","5","479","21","232","175","399","0.87","366","0.77","0.161087866108787","0.154811715481172","0.144351464435146","0.198744769874477","0.213389121338912","0.0167364016736402","0.0836820083682008","0.0271966527196653","0.176470588235294","0","0.0588235294117647","0.0294117647058824","0.411764705882353","0","0.235294117647059","0.0882352941176471","0.025974025974026","0","0.246753246753247","0.298701298701299","0.194805194805195","0","0.233766233766234","0","0.07","0.17","0.06","0.7","ag_M.lut","1","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"ag M.mbi","epilithic_algae_scraper_Mm","44","7","44","14","25","24","26","0.7","26","0.6","0.27906976744186","0.162790697674419","0.116279069767442","0.232558139534884","0.162790697674419","0","0.0232558139534884","0.0232558139534884","0.222222222222222","0","0","0","0.222222222222222","0.111111111111111","0.444444444444444","0","0","0","0.153846153846154","0.153846153846154","0.0769230769230769","0","0.153846153846154","0.461538461538462","0.25","0.36","0.06","0.33","ag M.mbi","1","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"
"as","epilithic_algae_scraper_Pshorsnsc","2629","3","2629","22","979","715","2264","0.89","1990","0.76","0.153348554033486","0.0654490106544901","0.126712328767123","0.178082191780822","0.175799086757991","0.0917047184170472","0.17351598173516","0.0353881278538813","0.098159509202454","0.0184049079754601","0.0858895705521472","0.098159509202454","0.263803680981595","0.0797546012269939","0.294478527607362","0.0613496932515337","0.0167014613778706","0.0125260960334029","0.198329853862213","0.313152400835073","0.183716075156576","0.0146137787056367","0.244258872651357","0.0167014613778706","0.06","0.19","0.04","0.7","as","1","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE"
"ep","epiphytic_algae_scraper_purYel","691","3","691","22","341","300","499","0.76","392","0.57","0.283018867924528","0.0856313497822932","0.16255442670537","0.312046444121916","0.0653120464441219","0.0101596516690856","0.0362844702467344","0.0449927431059507","0.0526315789473684","0","0.298245614035088","0.0175438596491228","0.228070175438596","0.12280701754386","0.245614035087719","0.0350877192982456","0","0","0.198895027624309","0.392265193370166","0.0441988950276243","0","0.353591160220994","0.0110497237569061","0.09","0.28","0.15","0.48","ep","1","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE"
"zo","zooplanktivore_Y","69","7","69","20","46","42","56","0.98","47","0.75","0.0769230769230769","0.153846153846154","0.184615384615385","0.292307692307692","0.169230769230769","0","0.0769230769230769","0.0461538461538462","0","0","0","0","1","0","0","0","0","0","0.357142857142857","0.428571428571429","0","0","0.214285714285714","0","0.02","0.25","0","0.73","zo","3","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"os_Pty","oral_sheller_Macro","126","3","126","20","94","86","101","0.84","91","0.75","0.176","0.072","0.2","0.168","0.216","0.032","0.088","0.048","0.2","0","0","0","0.2","0.2","0.2","0.2","0","0","0.375","0.25","0.125","0","0.1875","0.0625","0.04","0.14","0.12","0.7","os_Pty","3","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"os_Par","oral_sheller_plagiodon","108","4","108","18","44","41","100","0.95","88","0.81","0.161904761904762","0.0476190476190476","0.219047619047619","0.285714285714286","0.0857142857142857","0.0380952380952381","0.114285714285714","0.0476190476190476","0","0","0","0","0","0","1","0","0.0588235294117647","0.117647058823529","0.0588235294117647","0.529411764705882","0.0588235294117647","0","0.176470588235294","0","0.02","0.16","0.03","0.79","os_Par","1","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"oc","oral_crusher_Macro","664","3","664","22","324","250","522","0.81","480","0.73","0.125","0.103915662650602","0.234939759036145","0.224397590361446","0.171686746987952","0.0286144578313253","0.0783132530120482","0.0331325301204819","0.111111111111111","0.0158730158730159","0.0793650793650794","0.0476190476190476","0.523809523809524","0.0158730158730159","0.158730158730159","0.0476190476190476","0.00854700854700855","0","0.487179487179487","0.256410256410256","0.111111111111111","0","0.128205128205128","0.00854700854700855","0.1","0.18","0.09","0.63","oc","1","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"pc","pharyngeal.crusher","86","9","86","21","49","44","69","0.93","63","0.73","0.13953488372093","0.13953488372093","0.174418604651163","0.127906976744186","0.151162790697674","0.0348837209302326","0.162790697674419","0.0697674418604651","0","0","0.25","0","0.25","0.25","0.25","0","0","0","0.133333333333333","0","0.333333333333333","0","0.533333333333333","0","0.05","0.2","0.01","0.73","pc","3","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"in_Gau","insectivore_E1Gau","279","3","279","20","92","82","227","0.87","144","0.52","0.164874551971326","0.0681003584229391","0.236559139784946","0.293906810035842","0.14336917562724","0.00716845878136201","0.039426523297491","0.046594982078853","0","0","0","0.0909090909090909","0.181818181818182","0.272727272727273","0.454545454545455","0","0.0392156862745098","0","0.372549019607843","0.401960784313726","0.0196078431372549","0.00980392156862745","0.127450980392157","0.0294117647058824","0.04","0.39","0.09","0.48","in_Gau","2","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"in_Par","insectivore_Paral","350","5","350","22","253","223","271","0.85","242","0.7","0.163323782234957","0.114613180515759","0.177650429799427","0.246418338108883","0.163323782234957","0.0487106017191977","0.0687679083094556","0.0171919770773639","0.166666666666667","0.0416666666666667","0.125","0","0.333333333333333","0.0416666666666667","0.291666666666667","0","0.0294117647058824","0","0.205882352941176","0.352941176470588","0.176470588235294","0","0.191176470588235","0.0441176470588235","0.08","0.22","0.07","0.64","in_Par","2","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"in_Pun","insectivore_Pund","12","12","12","7","8","7","9","0.9","8","0.67","0.333333333333333","0","0.25","0.0833333333333333","0.333333333333333","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0.1","0.4","0","0.5","in_Pun","3","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"in_Lit","insectivore_Lith","88","4","88","19","53","48","71","0.85","64","0.76","0.136363636363636","0.113636363636364","0.136363636363636","0.159090909090909","0.170454545454545","0.0681818181818182","0.170454545454545","0.0454545454545455","0.333333333333333","0","0","0.333333333333333","0","0","0.333333333333333","0","0.1","0","0.3","0.2","0.3","0","0.1","0","0.07","0.12","0.09","0.71","in_Lit","2","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"cr","crabs_eater","34417","3","34417","22","10914","4385","11286","0.38","8130","0.24","0","0.0554885404101327","0.142038600723764","0.71773220747889","0.0847406513872135","0","0","0","0.0960365853658537","0","0.0853658536585366","0","0.783536585365854","0","0","0.0350609756097561","0.00700372072663603","0","0.177938279711097","0.805427883563143","0","0","0","0.00963011599912453","0.05","0.16","0.57","0.22","cr","2","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"pa","paedophage","264","10","264","20","122","85","236","0.94","206","0.8","0.0871212121212121","0.0340909090909091","0.276515151515151","0.215909090909091","0.28030303030303","0.0227272727272727","0.0681818181818182","0.0151515151515152","0","0","0.142857142857143","0","0.571428571428571","0","0.142857142857143","0.142857142857143","0","0","0.205128205128205","0.538461538461538","0.0512820512820513","0","0.153846153846154","0.0512820512820513","0.03","0.16","0.03","0.78","pa","5","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE"
"dw","dwarf_predators","17","15","17","8","7","7","10","0.67","9","0.56","0.0588235294117647","0.0588235294117647","0.235294117647059","0.235294117647059","0.352941176470588","0.0588235294117647","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0.07","0.07","0.29","0.57","dw","5","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"pi","piscivore","22","25","22","7","10","10","19","0.9","14","0.64","0.0454545454545455","0","0.727272727272727","0.136363636363636","0.0454545454545455","0","0.0454545454545455","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0.24","0.1","0.67","pi","16","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
