pop1	pop2	avg_dxy_chr1	count_diffs_chr1	count_comparisons_chr1	avg_dxy_chr3	count_diffs_chr3	count_comparisons_chr3	avg_dxy_chr4	count_diffs_chr4	count_comparisons_chr4	avg_dxy_chr5	count_diffs_chr5	count_comparisons_chr5	avg_dxy_chr6	count_diffs_chr6	count_comparisons_chr6	avg_dxy_chr7	count_diffs_chr7	count_comparisons_chr7	avg_dxy_chr8	count_diffs_chr8	count_comparisons_chr8	avg_dxy_chr9	count_diffs_chr9	count_comparisons_chr9	avg_dxy_chr10	count_diffs_chr10	count_comparisons_chr10	avg_dxy_chr11	count_diffs_chr11	count_comparisons_chr11	avg_dxy_chr12	count_diffs_chr12	count_comparisons_chr12	avg_dxy_chr13	count_diffs_chr13	count_comparisons_chr13	avg_dxy_chr14	count_diffs_chr14	count_comparisons_chr14	avg_dxy_chr15	count_diffs_chr15	count_comparisons_chr15	avg_dxy_chr16	count_diffs_chr16	count_comparisons_chr16	avg_dxy_chr17	count_diffs_chr17	count_comparisons_chr17	avg_dxy_chr18	count_diffs_chr18	count_comparisons_chr18	avg_dxy_chr19	count_diffs_chr19	count_comparisons_chr19	avg_dxy_chr20	count_diffs_chr20	count_comparisons_chr20	avg_dxy_chr21	count_diffs_chr21	count_comparisons_chr21
130704_pisc_Kyoga	130706_paedo_Kyoga	0.0038214688897201363	263536	68961964	0.0024499295120422133	217292	88693164	0.0026079638468473818	257928	98900144	0.002275612992460695	255922	112462884	0.002373020045585836	236876	99820480	0.0025775288343048747	270618	104991260	0.002455771712836116	221254	90095508	0.0026676386108196466	236654	88712916	0.0023827994873310793	274356	115140196	0.0024071215014241417	205474	85360876	0.002418638156144088	272714	112755188	0.0022778751599267103	247982	108865492	0.002678003290124053	213848	79853524	0.0027089160201755505	208632	77016784	0.00213325329078091	206048	96588624	0.002420034899050432	246964	102049768	0.002507545833737154	245174	97774484	0.002484096795792107	245384	98781980	0.0025993180845970396	178962	68849596	0.002325604498630853	180722	77709688
130704_pisc_Kyoga	130712_pisc_Kyoga	0.0033574069674023807	231568	68972276	0.0022689546287959126	201340	88736900	0.002422178017426223	239576	98909328	0.0021031600119200107	236570	112483120	0.002131451853174411	212876	99873708	0.002417013078675122	253852	105027152	0.0023227315566275116	209378	90143004	0.0024743325608703676	219396	88668760	0.0022315874647045814	256688	115024844	0.002238212781540469	191036	85352028	0.0022207213853560745	250384	112748948	0.0021395125278858926	232642	108735984	0.00248232721431229	198288	79879880	0.0025338522978597127	195160	77021064	0.001994493521168298	192608	96569880	0.0022305648531972025	227554	102016312	0.002333811600771058	228436	97881080	0.002297817412536416	227018	98797232	0.0023201249034707594	159956	68942840	0.002167875181771321	168496	77724032
130704_pisc_Kyoga	130713_paedo_Kyoga	0.0038123957021295608	258402	67779428	0.002446952595524505	214358	87602024	0.002631869033630334	257092	97684192	0.0022597703200556343	251040	111090936	0.0023094831612783056	227644	98569240	0.0025730763001411395	266898	103727200	0.002460352383347103	219180	89084800	0.0026318458255693215	230450	87562120	0.002442614557179175	276486	113192644	0.0023966822022597404	202086	84319064	0.002419868937504732	269484	111363056	0.002276678092928225	244992	107609416	0.002641836732106039	208340	78861800	0.0027150241112056718	206586	76089932	0.0021480049697366545	204698	95296800	0.0024015853449420436	242238	100865872	0.0024915385892809723	240414	96492184	0.002510733542243643	244890	97537232	0.002561080896949479	174426	68106400	0.002299413745317935	176854	76912648
130704_pisc_Kyoga	130722_pisc_Kyoga	0.003011495207776195	207928	69044772	0.0019388932822931063	172036	88728968	0.002109448955261667	208238	98716776	0.0018334621916533587	206266	112500820	0.001851156363247083	184818	99839216	0.0021056873267427515	220936	104923460	0.001958169184629426	176678	90226116	0.002025927909475053	179730	88714904	0.001940383571831004	223600	115234948	0.001889672207745025	161448	85437040	0.0019295971877902071	217706	112824584	0.0018067420675490435	197046	109061500	0.002105357115621997	168410	79991180	0.002191480821835562	168778	77015504	0.001736452671707687	167768	96615360	0.001868456170230646	190678	102051096	0.0019116588930637214	187200	97925420	0.0019299133740342238	190768	98847960	0.0019643753517238835	135464	68960344	0.0018178039777495298	141322	77743256
130704_pisc_Kyoga	130723_pisc_Kyoga	0.0034338697647225995	229676	66885472	0.0022406818245672144	193956	86561152	0.0023718543592013233	229200	96633252	0.0020222502706385673	222102	109829136	0.0020941104720727417	204400	97607076	0.0023747296592052302	243406	102498404	0.002276616028460457	200682	88149252	0.002428131125263559	210500	86692188	0.0022583971629492124	252750	111915656	0.002186560967705439	182440	83436960	0.002157086689506572	237278	109999288	0.0020309328956361855	216268	106487024	0.0024054771226839256	187522	77956260	0.002470886585375127	185860	75219964	0.0019304561366731714	181968	94261660	0.0021863790407808774	217912	99667988	0.002269212622834159	216414	95369644	0.0022726814722202433	219236	96465784	0.0023060248683841825	155242	67320176	0.0020565481536300467	156308	76005028
130704_pisc_Kyoga	130732_pisc_Kyoga	0.0034918701047113327	240224	68795228	0.002316825575676789	205190	88565148	0.0024923915529823995	245988	98695568	0.0021385014461983943	240056	112254308	0.0021964819469915665	219058	99731300	0.0024845443253808854	259976	104637296	0.0023581551489694702	212242	90003408	0.0025072657482654876	222066	88568992	0.0022936423494852145	262510	114451148	0.002279701646394332	194240	85204132	0.002302762532917557	259094	112514424	0.002188312793615743	237888	108708408	0.0025307058576217443	201864	79765888	0.0025855812485925164	198766	76874784	0.0020242914979757085	195096	96377424	0.002279324173665443	232104	101830184	0.00237804067558932	232150	97622384	0.002367439123095358	233520	98638228	0.002344647666413719	161434	68852136	0.00223214653861505	173234	77608704
130704_pisc_Kyoga	130735_pisc_Kyoga	0.0035901666566151413	247166	68845272	0.0022589798815568483	200268	88654176	0.002431070796545051	240300	98845332	0.002101965667526461	236324	112430000	0.002180985628076197	217622	99781492	0.002448954749411766	257192	105021132	0.002307641252208982	207914	90098060	0.0024421481545990197	216714	88739088	0.0022886950172174964	263084	114949348	0.002247515384657938	191764	85322664	0.0022225088876939763	250576	112744656	0.0021230979944773204	231004	108805152	0.002496394911024417	199492	79912036	0.002541723697105444	195378	76868308	0.0020149735628122766	194426	96490596	0.002246354123585775	229102	101988372	0.0023741501483386367	232238	97819424	0.0023296590559247344	230134	98784412	0.0023264963836915863	160530	69000752	0.0021663819443897246	168260	77668668
130704_pisc_Kyoga	130736_pisc_Kyoga	0.0036176893626669385	248210	68610092	0.0022856984665895878	201790	88283736	0.0023965965410157226	235804	98391196	0.002143940554767164	239874	111884632	0.0021989735078415612	218558	99390920	0.0024468128129029767	255564	104447712	0.0023688727377089323	212624	89757460	0.0024640918809958915	217526	88278364	0.0022757333292152547	260542	114487052	0.0022130553492729463	188150	85018208	0.002247962824339516	252314	112241180	0.002090562017460427	226620	108401472	0.002524501852029262	200692	79497664	0.002576773599815734	197342	76584920	0.001969151369021125	189386	96176456	0.0022435724548007705	227930	101592440	0.002351721254305015	228982	97367832	0.002343930649246448	230388	98291304	0.002369989157872127	162684	68643352	0.0020699946648769967	160288	77434016
130704_pisc_Kyoga	130743_pisc_Kyoga	0.003465713168033099	237256	68458060	0.00227154181657754	200310	88182396	0.0023723456185370216	233394	98381112	0.0020351941183412063	227656	111859600	0.0020961252673896034	208386	99414860	0.0024247366862679776	253340	104481448	0.0023127715447959496	207504	89720924	0.0024494439456082804	216174	88254316	0.0021933156776087767	250988	114433140	0.002192406009526954	186062	84866580	0.0021593732221169984	242156	112141800	0.0020683191639229033	224140	108368188	0.0024683138926555243	195894	79363488	0.00251189727933914	192468	76622560	0.0019352562091786937	185850	96033796	0.0022184129576607813	225060	101450904	0.0022908148218136587	222864	97285908	0.002312407675622602	227166	98237868	0.002308330895475766	158348	68598484	0.0020566715903266608	159048	77332716
130704_pisc_Kyoga	130785_paedo_Victoria	0.0038509120049221596	264476	68678796	0.002477727617717778	218712	88271204	0.0026526015196870582	261356	98528180	0.0022708920320021904	254788	112197320	0.0023847322483272113	237370	99537380	0.002593454424088263	271656	104746780	0.0025057519509338886	225280	89905148	0.0027368903547147663	241894	88382788	0.0023893225937161927	274358	114826688	0.0024108250767527024	205260	85140976	0.0024077103571511042	271100	112596600	0.0022491640577177946	244522	108716836	0.002660852324063849	212038	79688000	0.0027374956420537426	210340	76836652	0.0021507910315659465	207322	96393372	0.0024416096506555056	248566	101804152	0.0025895282264722717	252800	97623960	0.0025284902107121877	249054	98499096	0.002568665687750595	176612	68756320	0.0023430009757565593	181868	77621820
130704_pisc_Kyoga	13135_pisc_Victoria	0.0035483111659291907	245774	69265064	0.002286006240764188	203204	88890396	0.0023762885402476295	235662	99172300	0.002084313312318327	235022	112757520	0.0020914817788546584	209464	100151004	0.002431713545691666	255846	105212228	0.002302326261884754	208036	90359044	0.00243625172431676	216658	88930876	0.0021654579828378835	250074	115483192	0.0022320203233575997	190938	85544920	0.002196509747672747	248492	113130388	0.002078628973628141	227016	109214296	0.002489162340959303	199532	80160300	0.0025516021567264843	196658	77072360	0.0019450370988137603	188294	96807408	0.002236411541182064	228720	102270980	0.002333343415241089	228970	98129576	0.0023505009933401564	232698	98999320	0.0023017480328860478	159180	69156136	0.0021297711997417517	165890	77890996
130704_pisc_Kyoga	13380_paedo_Victoria	0.00378684663375247	261880	69155164	0.0024628055878431333	218924	88892116	0.002663465202531048	263842	99059676	0.002291526273211659	258380	112754544	0.002333570807123958	233468	100047532	0.0025792348332031884	271628	105313404	0.0024697771674270686	223100	90332036	0.002693027567263288	239088	88780376	0.002371917954608515	273894	115473640	0.002394064885430135	204756	85526504	0.0024012532835180882	271614	113113432	0.0022337145113415385	243846	109166144	0.002627745323060526	210360	80053420	0.0026989343185130606	208342	77194172	0.0021234404348391017	205654	96849432	0.002375003885715109	242652	102169096	0.0025467320115813287	249866	98112404	0.0024879549798968925	246366	99023496	0.0025233545221609666	174578	69184888	0.0023109273686241732	180022	77900328
130704_pisc_Kyoga	14175_paedo_Victoria	0.003787585984716811	261848	69133216	0.0024603172280292314	218558	88833260	0.002626850620501604	260240	99069204	0.0022436567888537793	252788	112667856	0.0023333789861974394	233204	99942616	0.002584754309528449	272232	105322196	0.0024650276746276895	222544	90280528	0.002658656715974261	236130	88815528	0.0024012691248219806	276932	115327348	0.0023617388666712915	201940	85504796	0.0024116419966334415	272552	113015116	0.0022487707758734048	245300	109081816	0.002659626022658305	212940	80063888	0.00270149003763718	208082	77024900	0.0021206537036989573	205200	96762616	0.0023978582701866405	245088	102211212	0.002513496612478846	246310	97994960	0.0024846205847489544	245780	98920536	0.0025142570375379786	173548	69025560	0.0023148004276306784	180260	77872804
130704_pisc_Kyoga	14561_pisc_Victoria	0.0035898730952558093	246664	68711064	0.002264591705820072	200250	88426536	0.0024181487588235528	238274	98535708	0.002092929982384439	234510	112048660	0.002158441107793738	214974	99596880	0.002458144334785663	257110	104595160	0.0022812214880687303	205064	89892192	0.0024559288045638396	217426	88531068	0.002217277785128841	254506	114783092	0.0022198806219359706	188938	85111784	0.0022126429144567724	248764	112428444	0.0021347087785504744	231264	108335152	0.0024890369795188905	198278	79660528	0.002547763358120432	195374	76684516	0.0019803580063469514	190650	96270472	0.0022383487340958165	227716	101733924	0.002325911624299831	226828	97522192	0.0023438679726910747	230840	98486776	0.0023421841495188025	161120	68790492	0.0021594100380606953	167362	77503576
